item_id,book_author                                                                     ,item_year_of_release,item_title                                                                            ,item_rating,image_url                                                                               ,small_image_url
1      ,Suzanne Collins                                                                 ,2008.0              ,The Hunger Games                                                                      ,4.34       ,https://images.gr-assets.com/books/1447303603m/2767052.jpg                              ,https://images.gr-assets.com/books/1447303603s/2767052.jpg
2      ,"J.K. Rowling, Mary GrandPré"                                                   ,1997.0              ,Harry Potter and the Philosopher's Stone                                              ,4.44       ,https://images.gr-assets.com/books/1474154022m/3.jpg                                    ,https://images.gr-assets.com/books/1474154022s/3.jpg
3      ,Stephenie Meyer                                                                 ,2005.0              ,Twilight                                                                              ,3.57       ,https://images.gr-assets.com/books/1361039443m/41865.jpg                                ,https://images.gr-assets.com/books/1361039443s/41865.jpg
4      ,Harper Lee                                                                      ,1960.0              ,To Kill a Mockingbird                                                                 ,4.25       ,https://images.gr-assets.com/books/1361975680m/2657.jpg                                 ,https://images.gr-assets.com/books/1361975680s/2657.jpg
5      ,F. Scott Fitzgerald                                                             ,1925.0              ,The Great Gatsby                                                                      ,3.89       ,https://images.gr-assets.com/books/1490528560m/4671.jpg                                 ,https://images.gr-assets.com/books/1490528560s/4671.jpg
6      ,John Green                                                                      ,2012.0              ,The Fault in Our Stars                                                                ,4.26       ,https://images.gr-assets.com/books/1360206420m/11870085.jpg                             ,https://images.gr-assets.com/books/1360206420s/11870085.jpg
7      ,J.R.R. Tolkien                                                                  ,1937.0              ,The Hobbit or There and Back Again                                                    ,4.25       ,https://images.gr-assets.com/books/1372847500m/5907.jpg                                 ,https://images.gr-assets.com/books/1372847500s/5907.jpg
8      ,J.D. Salinger                                                                   ,1951.0              ,The Catcher in the Rye                                                                ,3.79       ,https://images.gr-assets.com/books/1398034300m/5107.jpg                                 ,https://images.gr-assets.com/books/1398034300s/5107.jpg
9      ,Dan Brown                                                                       ,2000.0              ,Angels & Demons                                                                       ,3.85       ,https://images.gr-assets.com/books/1303390735m/960.jpg                                  ,https://images.gr-assets.com/books/1303390735s/960.jpg
10     ,Jane Austen                                                                     ,1813.0              ,Pride and Prejudice                                                                   ,4.24       ,https://images.gr-assets.com/books/1320399351m/1885.jpg                                 ,https://images.gr-assets.com/books/1320399351s/1885.jpg
11     ,Khaled Hosseini                                                                 ,2003.0              ,The Kite Runner                                                                       ,4.26       ,https://images.gr-assets.com/books/1484565687m/77203.jpg                                ,https://images.gr-assets.com/books/1484565687s/77203.jpg
12     ,Veronica Roth                                                                   ,2011.0              ,Divergent                                                                             ,4.24       ,https://images.gr-assets.com/books/1328559506m/13335037.jpg                             ,https://images.gr-assets.com/books/1328559506s/13335037.jpg
13     ,"George Orwell, Erich Fromm, Celâl Üster"                                       ,1949.0              ,Nineteen Eighty-Four                                                                  ,4.14       ,https://images.gr-assets.com/books/1348990566m/5470.jpg                                 ,https://images.gr-assets.com/books/1348990566s/5470.jpg
14     ,George Orwell                                                                   ,1945.0              ,Animal Farm: A Fairy Story                                                            ,3.87       ,https://images.gr-assets.com/books/1424037542m/7613.jpg                                 ,https://images.gr-assets.com/books/1424037542s/7613.jpg
15     ,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday"                        ,1947.0              ,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944                         ,4.1        ,https://images.gr-assets.com/books/1358276407m/48855.jpg                                ,https://images.gr-assets.com/books/1358276407s/48855.jpg
16     ,"Stieg Larsson, Reg Keeland"                                                    ,2005.0              ,Män som hatar kvinnor                                                                 ,4.11       ,https://images.gr-assets.com/books/1327868566m/2429135.jpg                              ,https://images.gr-assets.com/books/1327868566s/2429135.jpg
17     ,Suzanne Collins                                                                 ,2009.0              ,Catching Fire                                                                         ,4.3        ,https://images.gr-assets.com/books/1358273780m/6148028.jpg                              ,https://images.gr-assets.com/books/1358273780s/6148028.jpg
18     ,"J.K. Rowling, Mary GrandPré, Rufus Beck"                                       ,1999.0              ,Harry Potter and the Prisoner of Azkaban                                              ,4.53       ,https://images.gr-assets.com/books/1499277281m/5.jpg                                    ,https://images.gr-assets.com/books/1499277281s/5.jpg
19     ,J.R.R. Tolkien                                                                  ,1954.0              ,The Fellowship of the Ring                                                            ,4.34       ,https://images.gr-assets.com/books/1298411339m/34.jpg                                   ,https://images.gr-assets.com/books/1298411339s/34.jpg
20     ,Suzanne Collins                                                                 ,2010.0              ,Mockingjay                                                                            ,4.03       ,https://images.gr-assets.com/books/1358275419m/7260188.jpg                              ,https://images.gr-assets.com/books/1358275419s/7260188.jpg
21     ,"J.K. Rowling, Mary GrandPré"                                                   ,2003.0              ,Harry Potter and the Order of the Phoenix                                             ,4.46       ,https://images.gr-assets.com/books/1387141547m/2.jpg                                    ,https://images.gr-assets.com/books/1387141547s/2.jpg
22     ,Alice Sebold                                                                    ,2002.0              ,The Lovely Bones                                                                      ,3.77       ,https://images.gr-assets.com/books/1457810586m/12232938.jpg                             ,https://images.gr-assets.com/books/1457810586s/12232938.jpg
23     ,"J.K. Rowling, Mary GrandPré"                                                   ,1998.0              ,Harry Potter and the Chamber of Secrets                                               ,4.37       ,https://images.gr-assets.com/books/1474169725m/15881.jpg                                ,https://images.gr-assets.com/books/1474169725s/15881.jpg
24     ,"J.K. Rowling, Mary GrandPré"                                                   ,2000.0              ,Harry Potter and the Goblet of Fire                                                   ,4.53       ,https://images.gr-assets.com/books/1361482611m/6.jpg                                    ,https://images.gr-assets.com/books/1361482611s/6.jpg
25     ,"J.K. Rowling, Mary GrandPré"                                                   ,2007.0              ,Harry Potter and the Deathly Hallows                                                  ,4.61       ,https://images.gr-assets.com/books/1474171184m/136251.jpg                               ,https://images.gr-assets.com/books/1474171184s/136251.jpg
26     ,Dan Brown                                                                       ,2003.0              ,The Da Vinci Code                                                                     ,3.79       ,https://images.gr-assets.com/books/1303252999m/968.jpg                                  ,https://images.gr-assets.com/books/1303252999s/968.jpg
27     ,"J.K. Rowling, Mary GrandPré"                                                   ,2005.0              ,Harry Potter and the Half-Blood Prince                                                ,4.54       ,https://images.gr-assets.com/books/1361039191m/1.jpg                                    ,https://images.gr-assets.com/books/1361039191s/1.jpg
28     ,William Golding                                                                 ,1954.0              ,Lord of the Flies                                                                     ,3.64       ,https://images.gr-assets.com/books/1327869409m/7624.jpg                                 ,https://images.gr-assets.com/books/1327869409s/7624.jpg
29     ,"William Shakespeare, Robert           Jackson"                                 ,1595.0              ,An Excellent conceited Tragedie of Romeo and Juliet                                   ,3.73       ,https://images.gr-assets.com/books/1327872146m/18135.jpg                                ,https://images.gr-assets.com/books/1327872146s/18135.jpg
30     ,Gillian Flynn                                                                   ,2012.0              ,Gone Girl                                                                             ,4.03       ,https://images.gr-assets.com/books/1339602131m/8442457.jpg                              ,https://images.gr-assets.com/books/1339602131s/8442457.jpg
31     ,Kathryn Stockett                                                                ,2009.0              ,The Help                                                                              ,4.45       ,https://images.gr-assets.com/books/1346100365m/4667024.jpg                              ,https://images.gr-assets.com/books/1346100365s/4667024.jpg
32     ,John Steinbeck                                                                  ,1937.0              ,Of Mice and Men                                                                       ,3.84       ,https://images.gr-assets.com/books/1437235233m/890.jpg                                  ,https://images.gr-assets.com/books/1437235233s/890.jpg
33     ,Arthur Golden                                                                   ,1997.0              ,Memoirs of a Geisha                                                                   ,4.08       ,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
34     ,E.L. James                                                                      ,2011.0              ,Fifty Shades of Grey                                                                  ,3.67       ,https://images.gr-assets.com/books/1385207843m/10818853.jpg                             ,https://images.gr-assets.com/books/1385207843s/10818853.jpg
35     ,"Paulo Coelho, Alan R. Clarke"                                                  ,1988.0              ,O Alquimista                                                                          ,3.82       ,https://images.gr-assets.com/books/1483412266m/865.jpg                                  ,https://images.gr-assets.com/books/1483412266s/865.jpg
36     ,Lois Lowry                                                                      ,1993.0              ,The Giver                                                                             ,4.12       ,https://images.gr-assets.com/books/1342493368m/3636.jpg                                 ,https://images.gr-assets.com/books/1342493368s/3636.jpg
37     ,C.S. Lewis                                                                      ,1950.0              ,"The Lion, the Witch and the Wardrobe"                                                ,4.19       ,https://images.gr-assets.com/books/1353029077m/100915.jpg                               ,https://images.gr-assets.com/books/1353029077s/100915.jpg
38     ,Audrey Niffenegger                                                              ,2003.0              ,The Time Traveler's Wife                                                              ,3.95       ,https://images.gr-assets.com/books/1437728815m/14050.jpg                                ,https://images.gr-assets.com/books/1437728815s/14050.jpg
39     ,George R.R. Martin                                                              ,1996.0              ,A Game of Thrones                                                                     ,4.45       ,https://images.gr-assets.com/books/1436732693m/13496.jpg                                ,https://images.gr-assets.com/books/1436732693s/13496.jpg
40     ,Elizabeth Gilbert                                                               ,2006.0              ,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",3.51       ,https://images.gr-assets.com/books/1503066414m/19501.jpg                                ,https://images.gr-assets.com/books/1503066414s/19501.jpg
41     ,Rick Riordan                                                                    ,2005.0              ,The Lightning Thief                                                                   ,4.23       ,https://images.gr-assets.com/books/1400602609m/28187.jpg                                ,https://images.gr-assets.com/books/1400602609s/28187.jpg
42     ,Louisa May Alcott                                                               ,1868.0              ,Little Women                                                                          ,4.04       ,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
43     ,"Charlotte Brontë, Michael Mason"                                               ,1847.0              ,Jane Eyre                                                                             ,4.1        ,https://images.gr-assets.com/books/1327867269m/10210.jpg                                ,https://images.gr-assets.com/books/1327867269s/10210.jpg
44     ,Nicholas Sparks                                                                 ,1996.0              ,The Notebook                                                                          ,4.06       ,https://images.gr-assets.com/books/1385738917m/15931.jpg                                ,https://images.gr-assets.com/books/1385738917s/15931.jpg
45     ,Yann Martel                                                                     ,2001.0              ,Life of Pi                                                                            ,3.88       ,https://images.gr-assets.com/books/1320562005m/4214.jpg                                 ,https://images.gr-assets.com/books/1320562005s/4214.jpg
46     ,Sara Gruen                                                                      ,2006.0              ,Water for Elephants                                                                   ,4.07       ,https://images.gr-assets.com/books/1494428973m/43641.jpg                                ,https://images.gr-assets.com/books/1494428973s/43641.jpg
47     ,Markus Zusak                                                                    ,2005.0              ,The Book Thief                                                                        ,4.36       ,https://images.gr-assets.com/books/1390053681m/19063.jpg                                ,https://images.gr-assets.com/books/1390053681s/19063.jpg
48     ,Ray Bradbury                                                                    ,1953.0              ,Fahrenheit 451                                                                        ,3.97       ,https://images.gr-assets.com/books/1351643740m/4381.jpg                                 ,https://images.gr-assets.com/books/1351643740s/4381.jpg
49     ,Stephenie Meyer                                                                 ,2006.0              ,"New Moon (Twilight, #2)"                                                             ,3.52       ,https://images.gr-assets.com/books/1361039440m/49041.jpg                                ,https://images.gr-assets.com/books/1361039440s/49041.jpg
50     ,Shel Silverstein                                                                ,1974.0              ,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein                   ,4.29       ,https://images.gr-assets.com/books/1168052448m/30119.jpg                                ,https://images.gr-assets.com/books/1168052448s/30119.jpg
51     ,Cassandra Clare                                                                 ,2007.0              ,City of Bones                                                                         ,4.12       ,https://images.gr-assets.com/books/1432730315m/256683.jpg                               ,https://images.gr-assets.com/books/1432730315s/256683.jpg
52     ,Stephenie Meyer                                                                 ,2007.0              ,Eclipse                                                                               ,3.69       ,https://images.gr-assets.com/books/1361038355m/428263.jpg                               ,https://images.gr-assets.com/books/1361038355s/428263.jpg
53     ,Christopher Paolini                                                             ,2002.0              ,Eragon                                                                                ,3.86       ,https://images.gr-assets.com/books/1366212852m/113436.jpg                               ,https://images.gr-assets.com/books/1366212852s/113436.jpg
54     ,Douglas Adams                                                                   ,1979.0              ,The Hitchhiker's Guide to the Galaxy                                                  ,4.2        ,https://images.gr-assets.com/books/1327656754m/11.jpg                                   ,https://images.gr-assets.com/books/1327656754s/11.jpg
55     ,Aldous Huxley                                                                   ,1932.0              ,Brave New World                                                                       ,3.97       ,https://images.gr-assets.com/books/1487389574m/5129.jpg                                 ,https://images.gr-assets.com/books/1487389574s/5129.jpg
56     ,Stephenie Meyer                                                                 ,2008.0              ,Breaking Dawn                                                                         ,3.7        ,https://images.gr-assets.com/books/1361039438m/1162543.jpg                              ,https://images.gr-assets.com/books/1361039438s/1162543.jpg
57     ,Sue Monk Kidd                                                                   ,2001.0              ,The Secret Life of Bees                                                               ,4.01       ,https://images.gr-assets.com/books/1473454532m/37435.jpg                                ,https://images.gr-assets.com/books/1473454532s/37435.jpg
58     ,"Mark Twain, John Seelye, Guy Cardwell"                                         ,1884.0              ,The Adventures of Huckleberry Finn                                                    ,3.8        ,https://images.gr-assets.com/books/1405973850m/2956.jpg                                 ,https://images.gr-assets.com/books/1405973850s/2956.jpg
59     ,"E.B. White, Garth Williams, Rosemary Wells"                                    ,1952.0              ,Charlotte's Web                                                                       ,4.15       ,https://images.gr-assets.com/books/1439632243m/24178.jpg                                ,https://images.gr-assets.com/books/1439632243s/24178.jpg
60     ,Mark Haddon                                                                     ,2003.0              ,The Curious Incident of the Dog in the Night-Time                                     ,3.85       ,https://images.gr-assets.com/books/1479863624m/1618.jpg                                 ,https://images.gr-assets.com/books/1479863624s/1618.jpg
61     ,Paula Hawkins                                                                   ,2015.0              ,The Girl on the Train                                                                 ,3.88       ,https://images.gr-assets.com/books/1490903702m/22557272.jpg                             ,https://images.gr-assets.com/books/1490903702s/22557272.jpg
62     ,Philip Pullman                                                                  ,1995.0              ,Northern Lights                                                                       ,3.94       ,https://images.gr-assets.com/books/1451271747m/119322.jpg                               ,https://images.gr-assets.com/books/1451271747s/119322.jpg
63     ,"Emily Brontë, Richard J. Dunn"                                                 ,1847.0              ,Wuthering Heights                                                                     ,3.82       ,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
64     ,Jodi Picoult                                                                    ,2004.0              ,My Sister's Keeper                                                                    ,4.06       ,https://images.gr-assets.com/books/1369504683m/10917.jpg                                ,https://images.gr-assets.com/books/1369504683s/10917.jpg
65     ,Kurt Vonnegut Jr.                                                               ,1969.0              ,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death "            ,4.06       ,https://images.gr-assets.com/books/1440319389m/4981.jpg                                 ,https://images.gr-assets.com/books/1440319389s/4981.jpg
66     ,Margaret Mitchell                                                               ,1936.0              ,Gone with the Wind                                                                    ,4.28       ,https://images.gr-assets.com/books/1328025229m/18405.jpg                                ,https://images.gr-assets.com/books/1328025229s/18405.jpg
67     ,Khaled Hosseini                                                                 ,2007.0              ,A Thousand Splendid Suns                                                              ,4.34       ,https://images.gr-assets.com/books/1345958969m/128029.jpg                               ,https://images.gr-assets.com/books/1345958969s/128029.jpg
68     ,Stephen Chbosky                                                                 ,1999.0              ,The Perks of Being a Wallflower                                                       ,4.21       ,https://images.gr-assets.com/books/1167352178m/22628.jpg                                ,https://images.gr-assets.com/books/1167352178s/22628.jpg
69     ,Veronica Roth                                                                   ,2012.0              ,Insurgent                                                                             ,4.07       ,https://images.gr-assets.com/books/1325667729m/11735983.jpg                             ,https://images.gr-assets.com/books/1325667729s/11735983.jpg
70     ,Orson Scott Card                                                                ,1985.0              ,Ender's Game                                                                          ,4.3        ,https://images.gr-assets.com/books/1408303130m/375802.jpg                               ,https://images.gr-assets.com/books/1408303130s/375802.jpg
71     ,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle"             ,1818.0              ,"Frankenstein; or, The Modern Prometheus"                                             ,3.75       ,https://images.gr-assets.com/books/1381512375m/18490.jpg                                ,https://images.gr-assets.com/books/1381512375s/18490.jpg
72     ,Stephen King                                                                    ,1977.0              ,The Shining                                                                           ,4.17       ,https://images.gr-assets.com/books/1353277730m/11588.jpg                                ,https://images.gr-assets.com/books/1353277730s/11588.jpg
73     ,Stephenie Meyer                                                                 ,2008.0              ,The Host                                                                              ,3.84       ,https://images.gr-assets.com/books/1318009171m/1656001.jpg                              ,https://images.gr-assets.com/books/1318009171s/1656001.jpg
74     ,John Green                                                                      ,2005.0              ,Looking for Alaska                                                                    ,4.09       ,https://images.gr-assets.com/books/1394798630m/99561.jpg                                ,https://images.gr-assets.com/books/1394798630s/99561.jpg
75     ,Helen Fielding                                                                  ,1996.0              ,                                                                                      ,3.75       ,https://images.gr-assets.com/books/1292060045m/227443.jpg                               ,https://images.gr-assets.com/books/1292060045s/227443.jpg
76     ,"Jane Austen, Tony Tanner, Ros Ballaster"                                       ,1811.0              ,Sense and Sensibility                                                                 ,4.06       ,https://images.gr-assets.com/books/1397245675m/14935.jpg                                ,https://images.gr-assets.com/books/1397245675s/14935.jpg
77     ,"Louis Sachar, Louis Sachar"                                                    ,1998.0              ,Holes                                                                                 ,3.93       ,https://images.gr-assets.com/books/1327781893m/38709.jpg                                ,https://images.gr-assets.com/books/1327781893s/38709.jpg
78     ,Lauren Weisberger                                                               ,2003.0              ,The Devil Wears Prada                                                                 ,3.7        ,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
79     ,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox"                ,-720.0              ,Ὀδύσσεια                                                                              ,3.73       ,https://images.gr-assets.com/books/1390173285m/1381.jpg                                 ,https://images.gr-assets.com/books/1390173285s/1381.jpg
80     ,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946.0              ,Le Petit Prince                                                                       ,4.28       ,https://images.gr-assets.com/books/1367545443m/157993.jpg                               ,https://images.gr-assets.com/books/1367545443s/157993.jpg
81     ,Jeannette Walls                                                                 ,2005.0              ,The Glass Castle                                                                      ,4.24       ,https://images.gr-assets.com/books/1400930557m/7445.jpg                                 ,https://images.gr-assets.com/books/1400930557s/7445.jpg
82     ,Jon Krakauer                                                                    ,1996.0              ,Into the Wild                                                                         ,3.94       ,https://images.gr-assets.com/books/1403173986m/1845.jpg                                 ,https://images.gr-assets.com/books/1403173986s/1845.jpg
83     ,"Charles Dickens, Richard Maxwell, Hablot Knight Browne"                        ,1859.0              ,A Tale of Two Cities                                                                  ,3.81       ,https://images.gr-assets.com/books/1344922523m/1953.jpg                                 ,https://images.gr-assets.com/books/1344922523s/1953.jpg
84     ,Michael Crichton                                                                ,1990.0              ,Jurassic Park                                                                         ,3.96       ,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
85     ,Shel Silverstein                                                                ,1964.0              ,The Giving Tree                                                                       ,4.38       ,https://images.gr-assets.com/books/1174210942m/370493.jpg                               ,https://images.gr-assets.com/books/1174210942s/370493.jpg
86     ,John Grisham                                                                    ,1989.0              ,A Time to Kill                                                                        ,4.03       ,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
87     ,"Elie Wiesel, Marion Wiesel"                                                    ,1958.0              ,Un di Velt Hot Geshvign                                                               ,4.3        ,https://images.gr-assets.com/books/1473495285m/1617.jpg                                 ,https://images.gr-assets.com/books/1473495285s/1617.jpg
88     ,John Green                                                                      ,2008.0              ,Paper Towns                                                                           ,3.88       ,https://images.gr-assets.com/books/1349013610m/6442769.jpg                              ,https://images.gr-assets.com/books/1349013610s/6442769.jpg
89     ,William Goldman                                                                 ,1973.0              ,The Princess Bride                                                                    ,4.25       ,https://images.gr-assets.com/books/1327903636m/21787.jpg                                ,https://images.gr-assets.com/books/1327903636s/21787.jpg
90     ,S.E. Hinton                                                                     ,1967.0              ,The Outsiders                                                                         ,4.06       ,https://images.gr-assets.com/books/1442129426m/231804.jpg                               ,https://images.gr-assets.com/books/1442129426s/231804.jpg
91     ,James Dashner                                                                   ,2009.0              ,The Maze Runner                                                                       ,4.02       ,https://images.gr-assets.com/books/1375596592m/6186357.jpg                              ,https://images.gr-assets.com/books/1375596592s/6186357.jpg
92     ,"Steven D. Levitt, Stephen J. Dubner"                                           ,2005.0              ,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything                ,3.93       ,https://images.gr-assets.com/books/1327909092m/1202.jpg                                 ,https://images.gr-assets.com/books/1327909092s/1202.jpg
93     ,Frances Hodgson Burnett                                                         ,1911.0              ,The Secret Garden                                                                     ,4.12       ,https://images.gr-assets.com/books/1327873635m/2998.jpg                                 ,https://images.gr-assets.com/books/1327873635s/2998.jpg
94     ,"Gabriel García Márquez, Gregory Rabassa"                                       ,1967.0              ,Cien años de soledad                                                                  ,4.04       ,https://images.gr-assets.com/books/1327881361m/320.jpg                                  ,https://images.gr-assets.com/books/1327881361s/320.jpg
95     ,"Oscar Wilde, Jeffrey Eugenides"                                                ,1891.0              ,The Picture of Dorian Gray                                                            ,4.06       ,https://images.gr-assets.com/books/1424596966m/5297.jpg                                 ,https://images.gr-assets.com/books/1424596966s/5297.jpg
96     ,E.L. James                                                                      ,2012.0              ,Fifty Shades Freed                                                                    ,3.88       ,https://images.gr-assets.com/books/1336418837m/13536860.jpg                             ,https://images.gr-assets.com/books/1336418837s/13536860.jpg
97     ,"Bram Stoker, Nina Auerbach, David J. Skal"                                     ,1897.0              ,Dracula                                                                               ,3.98       ,https://images.gr-assets.com/books/1387151694m/17245.jpg                                ,https://images.gr-assets.com/books/1387151694s/17245.jpg
98     ,"Stieg Larsson, Reg Keeland"                                                    ,2006.0              ,Flickan som lekte med elden                                                           ,4.22       ,https://images.gr-assets.com/books/1351778881m/5060378.jpg                              ,https://images.gr-assets.com/books/1351778881s/5060378.jpg
99     ,E.L. James                                                                      ,2011.0              ,Fifty Shades Darker                                                                   ,3.87       ,https://images.gr-assets.com/books/1358266080m/11857408.jpg                             ,https://images.gr-assets.com/books/1358266080s/11857408.jpg
